Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
853510,"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,"Christie, Agatha",,"=""0007119313""","=""9780007119318""",0,4.19,HarperCollins,Paperback,274,2007,1934,,2022/03/31,to-read,to-read (#73),to-read,,,,0,,,0,,,,,
46041199,"Kim Jiyoung, Born 1982",Cho Nam-Joo,"Nam-Joo, Cho",Jamie Chang,"=""1631496700""","=""9781631496707""",0,4.18,Liveright,Hardcover,163,2020,2016,,2022/03/30,to-read,to-read (#72),to-read,,,,0,,,0,,,,,
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""0593135202""","=""9780593135204""",0,4.53,Ballantine Books,Hardcover,476,2021,2021,,2022/03/29,to-read,to-read (#71),to-read,,,,0,,,0,,,,,
6969,Emma,Jane Austen,"Austen, Jane",Fiona Stafford,"=""0141439580""","=""9780141439587""",0,4.03,Penguin Books,Paperback,474,2003,1815,,2022/03/29,to-read,to-read (#70),to-read,,,,0,,,0,,,,,
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,"=""""","=""""",0,3.93,Scribner,Paperback,200,2004,1925,,2022/03/29,to-read,to-read (#69),to-read,,,,0,,,0,,,,,
50202953,Piranesi,Susanna Clarke,"Clarke, Susanna",,"=""163557563X""","=""9781635575637""",0,4.28,Bloomsbury,Hardcover,245,2020,2020,,2022/03/29,to-read,to-read (#68),to-read,,,,0,,,0,,,,,
50623864,The Invisible Life of Addie LaRue,V.E. Schwab,"Schwab, V.E.",,"=""0765387565""","=""9780765387561""",0,4.23,Tor Books,Hardcover,444,2020,2020,,2021/11/27,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
32620332,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""1501139231""","=""9781501139239""",5,4.48,Atria Books,Hardcover,389,2017,2017,2022/03/25,2021/11/28,,,read,,,,1,,,0,,,,,
58064046,Gallant,V.E. Schwab,"Schwab, V.E.","Victoria Schwab, Manuel Sumberac","=""0062835777""","=""9780062835772""",0,3.98,Greenwillow Books,Hardcover,334,2022,2022,,2022/03/24,to-read,to-read (#67),to-read,,,,0,,,0,,,,,
9361589,The Night Circus,Erin Morgenstern,"Morgenstern, Erin",,"=""0385534635""","=""9780385534635""",0,4.03,Doubleday,Hardcover,387,2011,2011,,2022/03/24,to-read,to-read (#66),to-read,,,,0,,,0,,,,,
55656269,Build Your House Around My Body,Violet Kupersmith,"Kupersmith, Violet",,"=""0812993322""","=""9780812993325""",0,3.90,Random House,Hardcover,400,2021,2021,,2022/03/21,to-read,to-read (#65),to-read,,,,0,,,0,,,,,
33253215,The Heart's Invisible Furies,John Boyne,"Boyne, John",,"=""""","=""""",0,4.49,Hogarth Press,Hardcover,582,2017,2017,,2021/11/27,to-read,to-read (#64),to-read,,,,0,,,0,,,,,
58807361,Crying in H Mart,Michelle Zauner,"Zauner, Michelle",,"=""""","=""""",0,4.33,,Hardcover,239,2021,2021,,2022/03/01,to-read,to-read (#63),to-read,,,,0,,,0,,,,,
29044,The Secret History,Donna Tartt,"Tartt, Donna",,"=""1400031702""","=""9781400031702""",0,4.14,Vintage,Paperback,559,2004,1992,,2022/02/21,to-read,to-read (#62),to-read,,,,0,,,0,,,,,
34051011,Pachinko,Min Jin Lee,"Lee, Min Jin",,"=""""","=""""",0,4.30,Grand Central Publishing,Kindle Edition,496,2017,2017,,2022/02/21,to-read,to-read (#61),to-read,,,,0,,,0,,,,,
17333223,The Goldfinch,Donna Tartt,"Tartt, Donna",,"=""0316055433""","=""9780316055437""",4,3.92,"Little, Brown",Hardcover,771,2013,2013,2022/02/13,2021/05/07,,,read,,,,1,,,0,,,,,
27362503,It Ends with Us,Colleen Hoover,"Hoover, Colleen",,"=""""","=""""",0,4.43,Atria Books,Kindle Edition,385,2016,2016,,2022/02/03,to-read,to-read (#60),to-read,,,,0,,,0,,,,,
16129174,Long Division,Kiese Laymon,"Laymon, Kiese",,"=""1932841725""","=""9781932841725""",0,3.85,Agate Bolden,Paperback,276,2013,2013,,2022/02/02,to-read,to-read (#59),to-read,,,,0,,,0,,,,,
25454056,"Sword of Destiny (The Witcher, #0.7)",Andrzej Sapkowski,"Sapkowski, Andrzej",David A French,"=""""","=""""",0,4.28,Orbit,Kindle Edition,384,2015,1992,,2022/02/02,to-read,to-read (#58),to-read,,,,0,,,0,,,,,
40603587,"The Last Wish (The Witcher, #0.5)",Andrzej Sapkowski,"Sapkowski, Andrzej",Danusia Stok,"=""""","=""""",0,4.14,Orbit,Kindle Edition,359,2008,1993,,2022/02/02,to-read,to-read (#57),to-read,,,,0,,,0,,,,,
53437272,"Red, White & Royal Blue",Casey McQuiston,"McQuiston, Casey",,"=""1250316774""","=""9781250316776""",0,4.19,St. Martin's Griffin,Paperback,418,2020,2019,,2022/01/20,to-read,to-read (#56),to-read,,,,0,,,0,,,,,
13623848,The Song of Achilles,Madeline Miller,"Miller, Madeline",,"=""""","=""""",5,4.40,Ecco,Paperback,378,2012,2011,2022/01/20,2021/11/29,,,read,,,,1,,,0,,,,,
62022,The Queen's Gambit,Walter Tevis,"Tevis, Walter",,"=""1400030609""","=""9781400030606""",4,4.21,Vintage,Paperback,258,2003,1983,2021/08/27,2021/05/25,,,read,,,,1,,,0,,,,,
56783258,Cloud Cuckoo Land,Anthony Doerr,"Doerr, Anthony",,"=""1982168439""","=""9781982168438""",0,4.30,Scribner,Hardcover,626,2021,2021,,2022/01/11,to-read,to-read (#55),to-read,,,,0,,,0,,,,,
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James","Gunnar Nyquist, Nagalakshmi Shanmugam, Ondřej Halámek, Aleš Drobek","=""""","=""""",5,4.38,Avery,Kindle Edition,319,2018,2018,2022/01/05,2021/12/30,,,read,,,,1,,,0,,,,,
58345,The Awakening,Kate Chopin,"Chopin, Kate",,"=""0543898083""","=""9780543898081""",0,3.67,Elibron Classics,Paperback,195,2006,1899,,2022/01/01,to-read,to-read (#54),to-read,,,,0,,,0,,,,,
6514,The Bell Jar,Sylvia Plath,"Plath, Sylvia",,"=""""","=""""",0,4.03,Harper Perennial Modern Classics,Paperback,294,2006,1963,,2022/01/01,to-read,to-read (#53),to-read,,,,0,,,0,,,,,
1934,Little Women,Louisa May Alcott,"Alcott, Louisa May","Scott McKowen, Vilija Vitkūnienė, Vainius Bakas","=""0451529308""","=""9780451529305""",0,4.12,Signet Classics,Paperback,449,2004,1869,,2022/01/01,to-read,to-read (#52),to-read,,,,0,,,0,,,,,
11337,The Bluest Eye,Toni Morrison,"Morrison, Toni",,"=""0452287065""","=""9780452287068""",0,4.09,Plume,Paperback,216,2005,1970,,2022/01/01,to-read,to-read (#51),to-read,,,,0,,,0,,,,,
38591165,The Doll Factory,Elizabeth Macneal,"Macneal, Elizabeth",,"=""1529002397""","=""9781529002393""",0,3.79,Picador,Hardcover,336,2019,2019,,2022/01/01,to-read,to-read (#50),to-read,,,,0,,,0,,,,,
53487148,A Thousand Ships,Natalie Haynes,"Haynes, Natalie",,"=""0063065398""","=""9780063065390""",0,4.11,Harper,Hardcover,368,2021,2019,,2022/01/01,to-read,to-read (#49),to-read,,,,0,,,0,,,,,
50736031,Breasts and Eggs,Mieko Kawakami,"Kawakami, Mieko","Sam Bett, David  Boyd","=""1609455878""","=""9781609455873""",0,3.84,Europa Editions,Hardcover,448,2020,2019,,2022/01/01,to-read,to-read (#48),to-read,,,,0,,,0,,,,,
531509,Herland,Charlotte Perkins Gilman,"Gilman, Charlotte Perkins","Ann J. Lane, Joan Hall, Louise Fili","=""0394736656""","=""9780394736655""",0,3.49,Pantheon,Paperback,147,1979,1915,,2022/01/01,to-read,to-read (#47),to-read,,,,0,,,0,,,,,
8217236,The Yellow Wallpaper,Charlotte Perkins Gilman,"Gilman, Charlotte Perkins",,"=""""","=""""",0,4.11,Public Domain Books,Kindle Edition,63,2009,1892,,2022/01/01,to-read,to-read (#46),to-read,,,,0,,,0,,,,,
46138193,The Mercies,Kiran Millwood Hargrave,"Hargrave, Kiran Millwood",,"=""0316529257""","=""9780316529259""",0,4.01,"Little, Brown and Company",Hardcover,345,2020,2020,,2022/01/01,to-read,to-read (#45),to-read,,,,0,,,0,,,,,
34066798,A Gentleman in Moscow,Amor Towles,"Towles, Amor",,"=""""","=""""",0,4.34,Penguin Books,Paperback,462,2019,2016,,2022/01/01,to-read,to-read (#44),to-read,,,,0,,,0,,,,,
48989372,A Very Punchable Face,Colin Jost,"Jost, Colin",,"=""1101906324""","=""9781101906323""",0,4.22,Crown Publishing Group (NY),Hardcover,312,2020,2020,,2021/12/30,to-read,to-read (#43),to-read,,,,0,,,0,,,,,
16143347,We Were Liars,E. Lockhart,"Lockhart, E.",,"=""""","=""""",4,3.76,Delacorte Press,Kindle Edition,242,2014,2014,2021/12/30,2021/05/07,,,read,,,,1,,,0,,,,,
18143977,All the Light We Cannot See,Anthony Doerr,"Doerr, Anthony",,"=""1476746583""","=""9781476746586""",5,4.32,Scribner,Hardcover,531,2014,2014,2021/11/25,2021/05/07,,,read,,,,1,,,1,,,Like new,,
35504431,Turtles All the Way Down,John Green,"Green, John",,"=""0525555366""","=""9780525555360""",3,3.92,Dutton Books for Young Readers,Hardcover,290,2017,2017,2021/12/26,2021/12/12,,,read,,,,1,,,0,,,,,
23714521,Orbiting Jupiter,Gary D. Schmidt,"Schmidt, Gary D.",,"=""""","=""""",5,4.24,Clarion Books,Kindle Edition,183,2015,2015,2021/12/11,2021/11/27,,,read,,,,1,,,0,,,,,
43124137,The Beekeeper of Aleppo,Christy Lefteri,"Lefteri, Christy",,"=""1984821210""","=""9781984821218""",0,4.20,Ballantine Books,Hardcover,317,2019,2019,,2021/12/10,to-read,to-read (#42),to-read,,,,0,,,0,,,,,
